,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,khatanga,0,RU,1600849292,46,71.97,102.5,55.6,18.54
1,rikitea,10,PF,1600849293,75,-23.12,-134.97,72.39,16.37
2,narsaq,0,GL,1600849293,78,60.92,-46.05,32.0,10.29
3,butaritari,2,KI,1600849293,77,3.07,172.79,82.04,13.22
4,bambous virieux,40,MU,1600849293,61,-20.34,57.76,77.0,11.41
5,avarua,100,CK,1600849293,88,-21.21,-159.78,77.0,12.75
6,barrow,90,US,1600849293,92,71.29,-156.79,32.0,12.75
7,hobart,75,AU,1600849293,71,-42.88,147.33,50.0,17.22
8,miles city,1,US,1600849294,34,46.41,-105.84,64.4,5.82
9,busselton,7,AU,1600849294,39,-33.65,115.33,71.01,5.55
10,taoudenni,6,ML,1600849294,14,22.68,-3.98,96.62,3.33
11,nagua,99,DO,1600849294,96,19.38,-69.85,73.0,3.47
12,tuktoyaktuk,0,CA,1600849294,86,69.45,-133.04,36.54,7.83
13,derzhavinsk,100,KZ,1600849294,70,51.1,66.32,54.07,31.07
14,jamestown,1,US,1600849294,93,42.1,-79.24,46.4,3.36
15,nicoya,96,CR,1600849295,92,10.15,-85.45,74.01,0.74
16,pisco,90,PE,1600849295,87,-13.7,-76.22,59.0,3.36
17,oyama,75,JP,1600849295,94,36.3,139.8,73.99,11.41
18,clyde river,1,CA,1600849295,73,70.47,-68.59,21.2,2.24
19,albany,12,US,1600849295,95,42.6,-73.97,54.0,8.77
20,rawson,0,AR,1600849295,50,-43.3,-65.1,49.14,11.34
21,punta arenas,75,CL,1600849299,81,-53.15,-70.92,42.8,11.41
22,nikolskoye,20,RU,1600849299,93,59.7,30.79,55.0,4.47
23,montepuez,0,MZ,1600849299,37,-13.13,39.0,83.43,11.07
24,port alfred,47,ZA,1600849299,51,-33.59,26.89,67.59,4.59
25,east london,2,ZA,1600849299,49,-33.02,27.91,71.6,8.05
26,hilo,90,US,1600849209,83,19.73,-155.09,75.2,10.29
27,ushuaia,75,AR,1600849300,86,-54.8,-68.3,39.2,4.7
28,acarau,8,BR,1600849300,85,-2.89,-40.12,74.55,13.96
29,chapais,90,CA,1600849300,87,49.78,-74.85,55.4,5.82
30,umm lajj,0,SA,1600849300,40,25.02,37.27,95.34,10.69
31,lebu,94,CL,1600849300,86,-37.62,-73.65,46.22,11.88
32,esperance,40,AU,1600849300,67,-33.87,121.9,62.6,9.17
33,lorengau,79,PG,1600849301,73,-2.02,147.27,83.55,7.9
34,pangnirtung,100,CA,1600849301,81,66.15,-65.71,32.11,7.83
35,bluff,16,NZ,1600849301,74,-46.6,168.33,55.0,5.01
36,dingle,56,PH,1600849301,79,11.0,122.67,84.69,5.01
37,yellowknife,40,CA,1600849302,87,62.46,-114.35,48.2,4.7
38,grand gaube,3,MU,1600849302,55,-20.01,57.66,77.0,11.01
39,sitka,90,US,1600849302,62,57.05,-135.33,55.4,19.46
40,lata,63,PT,1600849302,92,40.16,-8.33,68.0,5.23
41,ushtobe,100,KZ,1600849302,23,45.25,77.98,67.96,11.79
42,nacala,75,MZ,1600849302,54,-14.54,40.67,84.2,18.34
43,geraldton,0,AU,1600849303,10,-28.77,114.6,89.6,9.17
44,qaanaaq,10,GL,1600849303,79,77.48,-69.36,11.71,11.18
45,krasnorechenskiy,34,RU,1600849303,75,44.63,135.35,55.71,3.6
46,kapaa,40,US,1600849019,69,22.08,-159.32,80.6,16.11
47,saint-philippe,51,RE,1600849303,54,-21.36,55.77,78.8,19.46
48,san cristobal,100,VE,1600849303,76,7.77,-72.22,66.27,1.43
49,kodiak,90,US,1600849304,81,57.79,-152.41,50.0,18.34
50,minab,0,IR,1600849304,23,27.15,57.08,104.0,11.41
51,hostotipaquillo,31,MX,1600849304,93,21.07,-104.07,69.01,5.01
52,waiuku,100,NZ,1600849304,77,-37.25,174.75,63.0,11.41
53,asau,0,RO,1600849304,60,46.43,26.4,68.0,3.4
54,atherton,100,GB,1600849305,96,53.52,-2.49,54.0,8.01
55,severo-kurilsk,17,RU,1600849305,80,50.68,156.12,48.4,6.17
56,nemuro,75,JP,1600849305,82,43.32,145.57,57.2,6.93
57,mataura,22,NZ,1600849305,74,-46.19,168.86,55.0,5.01
58,ballina,0,AU,1600849165,53,-28.87,153.57,77.0,11.41
59,thompson,5,CA,1600849305,93,55.74,-97.86,35.6,3.36
60,dikson,100,RU,1600849305,84,73.51,80.55,42.19,17.36
61,jurm,0,AF,1600849305,23,36.86,70.83,68.97,6.49
62,kijang,75,KR,1600849027,56,35.24,129.21,73.4,14.99
63,cap malheureux,2,MU,1600849306,55,-19.98,57.61,77.0,11.01
64,conceicao do araguaia,35,BR,1600849306,79,-8.26,-49.26,75.47,6.04
65,vaini,40,TO,1600849306,88,-21.2,-175.2,71.6,6.93
66,amos,75,CA,1600849306,87,48.57,-78.12,57.2,6.93
67,melfi,20,IT,1600849306,77,41.0,15.65,78.8,4.7
68,awbari,0,LY,1600849306,25,26.59,12.78,84.18,16.11
69,slave lake,1,CA,1600849307,81,55.28,-114.77,46.4,10.29
70,canico,40,PT,1600849307,83,32.63,-16.85,75.2,19.46
71,okha,0,RU,1600849307,74,53.57,142.95,51.58,5.14
72,carnarvon,2,AU,1600849199,20,-24.87,113.63,87.8,18.34
73,semme,90,FR,1600849307,100,46.2,1.5,61.0,8.05
74,ahipara,63,NZ,1600849307,90,-35.17,173.17,57.81,9.71
75,georgetown,40,MY,1600849308,62,5.41,100.34,89.6,8.05
76,haines junction,100,CA,1600849308,82,60.75,-137.51,41.65,1.83
77,plymouth,1,US,1600849308,62,41.83,-70.83,54.0,10.29
78,waddan,0,LY,1600849308,27,29.16,16.14,85.37,9.28
79,tynda,100,RU,1600849308,73,55.17,124.72,53.58,4.9
80,altay,100,CN,1600849308,40,47.87,88.12,59.18,1.72
81,longyearbyen,75,SJ,1600849308,64,78.22,15.64,35.6,14.99
82,atuona,31,PF,1600849308,73,-9.8,-139.03,78.12,19.08
83,khasan,97,RU,1600849309,82,42.43,130.64,61.45,8.3
84,chuy,69,UY,1600849309,87,-33.7,-53.46,46.06,5.03
85,fort nelson,40,CA,1600849309,93,58.81,-122.7,37.4,2.24
86,aranos,0,NA,1600849087,29,-24.13,19.12,80.51,17.98
87,touros,1,BR,1600849309,94,-5.2,-35.46,69.8,4.7
88,guhagar,100,IN,1600849309,83,17.48,73.19,83.01,11.92
89,ilulissat,0,GL,1600849309,68,69.22,-51.1,24.8,2.24
90,te anau,32,NZ,1600849309,85,-45.42,167.72,45.0,5.48
91,hualmay,5,PE,1600849310,86,-11.1,-77.61,59.88,5.68
92,kaitangata,2,NZ,1600849310,78,-46.28,169.85,51.01,1.01
93,palmer,1,US,1600849310,81,42.16,-72.33,48.99,5.28
94,castro,78,BR,1600849310,91,-24.79,-50.01,50.94,10.13
95,vila franca do campo,75,PT,1600849310,93,37.72,-25.43,64.4,3.36
96,trincomalee,47,LK,1600849311,57,8.57,81.23,90.34,14.0
97,biltine,75,TD,1600849311,36,14.53,20.92,90.18,7.47
98,hermanus,12,ZA,1600849312,62,-34.42,19.23,66.0,1.01
99,bonavista,100,CA,1600849312,95,48.65,-53.11,56.91,28.12
100,cape town,88,ZA,1600849056,77,-33.93,18.42,69.01,11.41
101,rio gallegos,75,AR,1600849217,49,-51.62,-69.22,46.4,13.87
102,znamenskoye,100,RU,1600849145,68,57.13,73.83,46.78,14.47
103,poum,25,NC,1600849312,74,-20.23,164.02,72.84,8.59
104,port lincoln,12,AU,1600849312,69,-34.73,135.87,54.79,15.5
105,lagos,40,NG,1600849291,88,6.58,3.75,80.6,9.17
106,mitu,97,CO,1600849313,98,1.2,-70.17,72.16,1.34
107,clarence town,1,AU,1600849313,30,-32.58,151.78,69.8,17.22
108,yar-sale,96,RU,1600849313,66,66.83,70.83,45.12,16.78
109,isabela,40,PH,1600849313,70,6.71,121.97,87.8,6.93
110,bethel,31,US,1600849313,90,41.37,-73.41,46.99,4.14
111,aksarayskiy,31,RU,1600849313,30,46.79,48.01,69.8,6.71
112,dickinson,90,US,1600849314,88,29.46,-95.05,75.99,6.6
113,alanya,20,TR,1600849093,70,36.54,32.0,84.2,3.36
114,khorixas,28,NA,1600849314,14,-20.37,14.97,84.9,2.89
115,polson,39,US,1600849314,100,47.69,-114.16,46.0,1.99
116,margate,100,GB,1600849314,89,51.38,1.39,64.0,3.0
117,dudinka,75,RU,1600849314,61,69.41,86.18,46.4,22.37
118,salalah,75,OM,1600849314,83,17.02,54.09,82.4,13.87
119,hastings,100,GB,1600849021,81,50.86,0.57,64.0,4.0
120,mar del plata,0,AR,1600849315,77,-38.0,-57.56,50.0,1.01
121,upernavik,0,GL,1600849315,90,72.79,-56.15,24.91,6.85
122,naze,75,JP,1600849315,83,28.37,129.48,82.4,13.87
123,bahia blanca,15,AR,1600849210,67,-38.72,-62.27,49.71,6.08
124,klyuchi,94,RU,1600849315,45,52.27,79.17,54.34,18.25
125,saskylakh,0,RU,1600849315,45,71.92,114.08,52.65,17.81
126,lompoc,90,US,1600849315,93,34.64,-120.46,55.99,3.36
127,songjianghe,92,CN,1600849315,71,42.19,127.48,61.2,4.29
128,tezu,100,IN,1600849316,86,27.92,96.17,75.61,3.69
129,sovetskiy,100,RU,1600849146,88,61.36,63.58,44.62,8.75
130,airai,45,TL,1600849317,59,-8.93,125.41,73.87,5.53
131,new norfolk,23,AU,1600849317,72,-42.78,147.06,50.0,1.99
132,coihaique,20,CL,1600849084,86,-45.58,-72.07,37.4,1.12
133,nanortalik,0,GL,1600849317,75,60.14,-45.24,35.35,5.39
134,oksfjord,85,NO,1600849317,57,70.24,22.35,48.2,10.29
135,guanica,100,PR,1600849318,86,17.97,-66.91,80.01,4.18
136,talnakh,75,RU,1600849318,65,69.49,88.4,46.4,22.37
137,kamariotissa,0,GR,1600849318,69,40.48,25.47,77.0,4.7
138,ancud,23,CL,1600849319,89,-41.87,-73.82,44.01,6.2
139,athabasca,15,CA,1600849319,73,54.72,-113.29,47.52,7.56
140,podgornoye,56,RU,1600849107,42,51.73,39.15,66.2,4.47
141,port macquarie,1,AU,1600849319,67,-31.43,152.92,66.0,2.86
142,plouzane,75,FR,1600849320,87,48.38,-4.62,60.8,11.41
143,kahului,1,US,1600849161,65,20.89,-156.47,78.8,11.41
144,cherskiy,97,RU,1600849320,91,68.75,161.3,41.31,8.66
145,nabire,98,ID,1600849320,68,-3.37,135.48,83.55,2.24
146,nishihara,75,JP,1600849320,78,26.18,127.76,82.4,8.05
147,muroto,75,JP,1600849320,65,33.28,134.15,80.6,5.82
148,moyale,100,KE,1600849320,77,3.52,39.06,69.35,13.22
149,henties bay,0,NA,1600849320,94,-22.12,14.28,55.0,0.72
150,krasnoselkup,97,RU,1600849321,59,65.7,82.47,47.44,17.13
151,nizwa,0,OM,1600849321,8,22.93,57.53,100.94,6.33
152,rovaniemi,75,FI,1600849321,80,66.5,25.72,41.0,8.05
153,gornopravdinsk,100,RU,1600849321,95,60.05,69.9,39.33,12.33
154,torbay,90,CA,1600849321,100,47.67,-52.73,61.0,24.16
155,maposeni,40,TZ,1600849322,64,-10.58,35.4,73.4,9.17
156,tasiilaq,100,GL,1600849322,68,65.61,-37.64,28.4,5.82
157,norman wells,20,CA,1600849322,77,65.28,-126.83,32.0,1.92
158,guder,36,ET,1600849322,70,8.97,37.77,68.68,2.53
159,bredasdorp,40,ZA,1600849322,67,-34.53,20.04,62.6,5.82
160,cabo san lucas,2,MX,1600849323,83,22.89,-109.91,81.0,1.01
161,lumsden,90,CA,1600849110,71,50.65,-104.87,57.99,9.17
162,san joaquin,100,VE,1600849324,81,10.26,-67.79,74.16,1.01
163,kavarna,20,BG,1600849324,60,43.43,28.33,71.6,9.17
164,loiza,40,PR,1600849324,74,18.43,-65.88,82.4,5.03
165,luderitz,0,NA,1600849324,42,-26.65,15.16,66.83,3.67
166,petropavlovsk-kamchatskiy,40,RU,1600849324,76,53.05,158.65,51.8,6.71
167,hasaki,75,JP,1600849325,94,35.73,140.83,71.6,10.29
168,port elizabeth,49,ZA,1600849325,49,-33.92,25.57,69.8,2.24
169,cordoba,99,AR,1600849118,37,-31.41,-64.18,63.0,10.29
170,kavieng,100,PG,1600849325,68,-2.57,150.8,83.52,10.18
171,nayoro,90,JP,1600849325,77,44.35,142.46,56.23,6.13
172,jalu,0,LY,1600849325,41,29.03,21.55,79.72,7.18
173,karratha,0,AU,1600849325,21,-20.74,116.85,86.59,13.4
174,kamloops,75,CA,1600849209,51,50.67,-120.32,62.6,8.05
175,provideniya,66,RU,1600849326,75,64.38,-173.3,40.6,2.71
176,belyy yar,40,RU,1600849326,76,53.6,91.39,57.2,4.47
177,kothi,100,IN,1600849326,78,24.75,80.78,84.36,8.48
178,maragogi,55,BR,1600849326,83,-9.01,-35.22,74.43,9.57
179,ribeira grande,40,PT,1600849326,68,38.52,-28.7,66.2,16.11
180,innisfail,1,AU,1600849314,78,-17.53,146.03,73.81,3.31
181,ciudad bolivar,61,VE,1600849326,81,8.12,-63.55,78.06,7.94
182,dukat,89,RU,1600849326,90,62.55,155.55,28.38,3.8
183,bianzhuang,39,CN,1600849327,68,34.85,118.04,79.0,1.01
184,brasileia,6,BR,1600849327,72,-11.02,-68.75,68.09,2.3
185,the pas,1,CA,1600849327,93,53.83,-101.25,39.2,4.7
186,nome,1,US,1600849327,74,64.5,-165.41,37.99,5.82
187,yulara,0,AU,1600849327,13,-25.24,130.99,80.6,9.17
188,ondjiva,0,AO,1600849328,14,-17.07,15.73,98.6,9.17
189,bandarbeyla,76,SO,1600849328,41,9.49,50.81,90.5,25.57
190,saint-georges,40,GD,1600849328,88,12.06,-61.75,80.6,5.82
191,souillac,40,MU,1600849328,61,-20.52,57.52,77.0,11.41
192,pirgos,20,GR,1600849328,69,35.12,25.72,79.0,14.99
193,puerto ayora,54,EC,1600849328,84,-0.74,-90.35,66.99,5.01
194,saldanha,0,ZA,1600849329,67,-33.01,17.94,62.6,4.7
195,padang,86,ID,1600849329,74,-0.95,100.35,83.08,8.32
196,coahuayana,100,MX,1600849329,86,18.73,-103.68,76.82,2.57
197,venice,1,US,1600849329,83,27.1,-82.45,71.6,10.29
198,san ignacio,0,BZ,1600849268,82,17.16,-89.07,75.99,1.48
199,saquarema,99,BR,1600849329,89,-22.92,-42.51,66.47,12.44
200,sioux lookout,40,CA,1600849329,71,50.1,-91.92,57.2,4.7
201,vao,0,NC,1600849330,80,-22.67,167.48,70.2,13.53
202,itaituba,58,BR,1600849330,89,-4.28,-55.98,73.98,1.77
203,jasper,1,US,1600849322,93,37.2,-94.35,63.0,3.38
204,ponta delgada,75,PT,1600849330,93,37.73,-25.67,64.4,3.36
205,pevek,100,RU,1600849330,94,69.7,170.31,37.38,13.0
206,lavrentiya,100,RU,1600849330,86,65.58,-171.0,38.95,2.86
207,bangonay,98,PH,1600849330,69,9.31,125.55,84.34,2.04
208,botou,100,CN,1600849331,84,38.07,116.57,66.06,4.12
209,dwarka,94,IN,1600849331,68,22.24,68.97,86.34,13.69
210,wattegama,40,LK,1600849331,66,6.8,81.48,89.6,16.11
211,grosseto,20,IT,1600849331,77,42.83,11.25,68.0,5.82
212,luena,58,AO,1600849331,82,-11.78,19.92,68.0,5.82
213,zheleznodorozhnyy,0,RU,1600849331,72,55.75,38.0,60.8,2.24
214,umuarama,0,BR,1600849244,78,-23.77,-53.33,58.51,9.71
215,ubauro,0,PK,1600849331,7,28.17,69.73,110.08,2.28
216,barcelos,75,PT,1600849332,93,41.54,-8.62,68.0,4.7
217,kruisfontein,17,ZA,1600849332,39,-34.0,24.73,66.47,3.62
218,chokurdakh,7,RU,1600849332,77,70.63,147.92,43.11,8.05
219,chernyshevskiy,0,RU,1600849332,51,63.01,112.47,57.69,8.21
220,skibbereen,75,IE,1600849332,93,51.55,-9.27,46.4,6.93
221,snezhnogorsk,32,RU,1600849332,60,69.19,33.25,42.8,6.71
222,wellsford,94,NZ,1600849332,85,-36.28,174.52,61.0,1.01
223,faya,40,SA,1600849333,11,18.39,42.45,80.6,23.04
224,meulaboh,100,ID,1600849333,89,4.14,96.13,78.37,8.21
225,genhe,80,CN,1600849333,84,50.78,121.52,45.7,4.52
226,axim,100,GH,1600849333,87,4.87,-2.24,75.65,8.39
227,carlyle,57,US,1600849333,94,38.61,-89.37,55.99,3.0
228,avdon,75,RU,1600849333,82,54.67,55.72,55.4,15.66
229,iquitos,100,PE,1600849208,98,-3.75,-73.25,71.44,2.13
230,yambio,0,SS,1600849334,75,4.57,28.4,81.84,3.11
231,dingalan,58,PH,1600849334,75,15.39,121.39,84.99,1.77
232,guiyang,90,CN,1600849334,82,26.58,106.72,64.4,6.71
233,grand-santi,50,GF,1600849334,94,4.25,-54.38,69.58,2.08
234,cidreira,56,BR,1600849334,77,-30.18,-50.21,58.32,16.69
235,nushki,0,PK,1600849334,15,29.55,66.02,82.98,7.11
236,tamiahua,0,MX,1600849335,79,21.27,-97.45,72.3,5.95
237,sao filipe,7,CV,1600849335,79,14.9,-24.5,79.86,2.53
238,saint-augustin,100,CA,1600849335,93,51.23,-58.65,48.74,22.24
239,hithadhoo,100,MV,1600849335,62,-0.6,73.08,82.74,4.05
240,brae,40,GB,1600849335,81,60.4,-1.35,46.4,4.7
241,evensk,2,RU,1600849335,80,61.95,159.23,36.32,3.02
242,tautira,20,PF,1600849335,61,-17.73,-149.15,80.6,8.05
243,natal,40,BR,1600849252,88,-5.79,-35.21,71.6,6.93
244,olinda,20,BR,1600849276,73,-8.01,-34.86,77.0,8.05
245,anadyr,17,RU,1600849336,86,64.75,177.48,41.0,10.83
246,daru,65,PG,1600849336,82,-9.08,143.21,78.78,14.74
247,boca do acre,94,BR,1600849336,74,-8.75,-67.4,70.34,2.55
248,pasni,0,PK,1600849336,33,25.26,63.47,92.7,6.73
249,mountain home,75,US,1600849336,47,43.13,-115.69,57.2,3.36
250,tlacotepec,3,MX,1600849336,87,20.07,-97.87,60.91,3.56
251,gubkinskiy,89,RU,1600849337,61,64.43,76.5,46.13,18.63
252,ribera,32,IT,1600849337,76,37.5,13.26,82.0,3.0
253,alice springs,0,AU,1600849070,21,-23.7,133.88,77.0,14.99
254,shimoda,75,JP,1600849337,83,34.67,138.95,73.4,31.09
255,tiksi,68,RU,1600849337,60,71.69,128.87,47.91,14.58
256,akyab,100,MM,1600849337,79,20.15,92.9,84.25,4.36
257,faanui,3,PF,1600849337,82,-16.48,-151.75,78.55,17.25
258,lasa,75,IT,1600849338,100,46.62,10.7,57.99,1.23
259,katunino,40,RU,1600849338,62,64.39,40.63,51.8,13.42
260,hilton head island,1,US,1600849244,93,32.22,-80.75,63.0,3.98
261,yubari,40,JP,1600849338,77,43.04,141.96,68.0,10.29
262,kaduy,75,RU,1600849338,87,59.2,37.15,55.4,4.47
263,batemans bay,54,AU,1600849338,72,-35.72,150.18,64.0,5.99
264,isangel,2,VU,1600849338,77,-19.55,169.27,71.08,11.43
265,biak,95,ID,1600849339,73,-0.91,122.88,82.02,7.05
266,bechem,87,GH,1600849339,89,7.09,-2.02,73.71,4.45
267,russell,90,US,1600849339,93,32.35,-85.2,64.4,3.24
268,whitehorse,40,CA,1600849339,65,60.72,-135.05,46.4,12.75
269,pitkyaranta,98,RU,1600849272,89,61.57,31.48,52.43,11.83
270,goure,0,NE,1600849339,39,13.98,10.27,90.0,5.01
271,darnah,0,LY,1600849339,60,32.77,22.64,78.71,9.55
272,chifeng,94,CN,1600849340,43,42.27,118.96,70.57,9.1
273,kyabe,99,TD,1600849340,89,9.45,18.94,76.55,2.57
274,elko,1,US,1600849340,45,41.0,-115.5,57.99,3.36
